t,kp_lin,ki_lin,kd_lin,kp_ang,ki_ang,kd_ang,v_ref,w_ref,v_meas,w_meas,reward
1770271260.2929611,1.2943591443085662,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.18750000000000006,0.08429145185629741,0.1860780908454865,0.09607929046775532,-0.007737494954367706
1770271260.7095425,1.29453640887916,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.1666666666666667,0.07975367357855126,0.1739124713408628,0.09710719280060255,-0.01602535451850645
1770271261.1259916,1.2946942936313144,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.15625000000000003,0.07888058824404448,0.16182732250845347,0.0950845528307947,-0.013881568798809337
1770271261.5395856,1.294838435162901,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.14583333333333334,0.07718272429579617,0.1522337872629305,0.08974658409409357,-0.013216180702415961
1770271261.9500759,1.294977586015462,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.15625000000000003,0.0762169068810385,0.15441832866581584,0.08574408497496643,-0.006995510293060868
1770271262.3656292,1.295121442793011,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.15625000000000003,0.07724540847318409,0.15569747756521551,0.08079390126736212,-0.0028217872026339587
1770271262.784014,1.295277302080392,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.25,0.07942409442957113,0.22655054001857372,0.08681155558980069,-0.027744955993784917
1770271263.2106967,1.2955046544098845,0.0,0.02000000000000128,1.2515569973015779,0.0,0.09136069469749936,0.25,0.07889726720775503,0.14077840712979414,0.07819987223348764,-0.11043145869297087
1770271263.637801,1.2955046544098845,0.0,0.02000000000000105,1.2515569973015779,0.0,0.09136069469749936,0.25,0.07477542108472918,0.2423934735933731,0.08255935309983653,-0.011934440500815467
1770271264.0678964,1.2957594302719821,0.0,0.02000000000000105,1.2515569973015779,0.0,0.09136069469749936,0.25,0.07424883808347871,0.25192707168435363,0.07718286964311265,-0.00393173580984299
1770271264.4827552,1.2960382559090842,0.0,0.02000000000000105,1.2515569973015779,0.0,0.09136069469749936,0.25,0.07202196868997476,0.25030908967258453,0.07779975930463504,-0.003259673946066903
